,fips,year,Total Investigations,Arrests Made,percentage
5044,42101033500,2023,37,1,2.7027027027027026
5856,42101037500,2019,74,2,2.7027027027027026
5370,42101035100,2016,74,2,2.7027027027027026
5175,42101034200,2017,37,1,2.7027027027027026
1108,42101010400,2022,443,12,2.708803611738149
1913,42101015200,2019,3872,105,2.7117768595041323
4687,42101031501,2019,553,15,2.7124773960216997
5498,42101035701,2019,258,7,2.7131782945736433
5653,42101036301,2018,258,7,2.7131782945736433
3614,42101026200,2017,515,14,2.7184466019417477
3710,42101026600,2015,478,13,2.7196652719665275
680,42101008302,2020,919,25,2.720348204570185
1403,42101012100,2018,147,4,2.7210884353741496
6282,42101980900,2017,735,20,2.7210884353741496
5026,42101033500,2014,514,14,2.7237354085603114
5072,42101033701,2017,330,9,2.727272727272727
4547,42101031000,2017,1574,43,2.7318932655654384
2297,42101017202,2014,1061,29,2.7332704995287465
3266,42101024200,2016,1353,37,2.7346637102734666
1122,42101010500,2019,1495,41,2.74247491638796
1713,42101014200,2016,838,23,2.7446300715990453
416,42101007101,2017,2696,74,2.744807121661721
2321,42101017300,2016,3241,89,2.746066029003394
5332,42101034803,2016,182,5,2.7472527472527473
1494,42101013200,2017,1019,28,2.747791952894995
3009,42101021300,2016,655,18,2.7480916030534353
1477,42101013100,2018,291,8,2.7491408934707904
2041,42101016200,2016,581,16,2.753872633390706
2221,42101016902,2016,1487,41,2.757229320780094
3329,42101024500,2018,3445,95,2.7576197387518144
811,42101008801,2017,145,4,2.7586206896551726
438,42101007102,2018,1450,40,2.7586206896551726
5421,42101035302,2016,145,4,2.7586206896551726
1552,42101013402,2017,181,5,2.7624309392265194
5649,42101036301,2016,433,12,2.771362586605081
3431,42101025200,2019,3350,93,2.7761194029850746
3796,42101027000,2019,396,11,2.7777777777777777
5637,42101036203,2020,36,1,2.7777777777777777
1582,42101013601,2014,72,2,2.7777777777777777
3240,42101024000,2022,108,3,2.7777777777777777
4629,42101031300,2019,792,22,2.7777777777777777
3527,42101025700,2019,108,3,2.7777777777777777
1176,42101010800,2016,1365,38,2.783882783882784
5313,42101034802,2016,215,6,2.7906976744186047
86,42101002000,2014,143,4,2.797202797202797
698,42101008400,2019,5170,145,2.804642166344294
2257,42101017100,2014,962,27,2.806652806652807
5222,42101034502,2016,285,8,2.807017543859649
1295,42101011400,2016,1424,40,2.8089887640449436
5645,42101036301,2014,391,11,2.813299232736573
134,42101004102,2014,462,13,2.813852813852814
6304,42101989100,2018,71,2,2.8169014084507045
5477,42101035602,2017,71,2,2.8169014084507045
829,42101008802,2017,601,17,2.828618968386023
5828,42101037300,2015,459,13,2.832244008714597
2343,42101017400,2017,2083,59,2.8324531925108016
5056,42101033600,2019,317,9,2.8391167192429023
4438,42101030501,2017,211,6,2.843601895734597
551,42101007900,2015,492,14,2.8455284552845526
3628,42101026301,2014,421,12,2.8503562945368173
3884,42101027402,2016,946,27,2.854122621564482
3888,42101027402,2018,1576,45,2.8553299492385786
1637,42101013800,2016,350,10,2.857142857142857
6038,42101038500,2015,35,1,2.857142857142857
6256,42101980700,2023,35,1,2.857142857142857
5038,42101033500,2020,70,2,2.857142857142857
3387,42101024800,2017,1607,46,2.8624766645924082
3696,42101026500,2018,1572,45,2.8625954198473282
640,42101008200,2020,732,21,2.8688524590163933
3652,42101026302,2016,1045,30,2.8708133971291865
5651,42101036301,2017,418,12,2.8708133971291865
122,42101003800,2014,383,11,2.8720626631853787
4124,42101028500,2018,1323,38,2.872260015117158
2969,42101021100,2014,139,4,2.877697841726619
5661,42101036301,2022,382,11,2.8795811518324608
692,42101008400,2016,4546,131,2.8816542014958206
3980,42101027901,2016,1595,46,2.884012539184953
1386,42101012000,2017,104,3,2.8846153846153846
2910,42101020700,2016,312,9,2.8846153846153846
